EVENT_ID,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,INJURIES_INDIRECT,DEATHS_INDIRECT,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
990001,PARKWOOD,10/6/2021,1845,0,0,0,0,0,0,10/7/2021,30,33.332,-86.885,33.535,-86.691
1008883,KIMBREL,2/17/2022,1930,0,0,0,0,0,0,2/17/2022,2230,33.297,-87.089,33.442,-87.258
1018314,BROWNVILLE,3/16/2022,1345,1,1,0,0,0,0,3/16/2022,1600,33.368,-86.935,33.368,-86.809
1018765,THOMAS JCT,3/22/2022,2040,0,0,0,0,0,0,3/22/2022,2145,33.5273,-86.834,33.5558,-86.7629
1034255,INDUSTRIAL CITY,6/8/2022,400,0,0,0,0,0,0,6/8/2022,700,33.442,-86.935,33.566,-86.862
1035719,ALDEN,6/8/2022,500,0,0,0,0,0,0,6/8/2022,630,33.6055,-86.9676,33.6232,-86.9513
1035729,HUFFMAN,6/8/2022,650,0,0,0,0,0,0,6/8/2022,800,33.5999,-86.7122,33.6081,-86.6618
1044431,WOODWARD,7/9/2022,1745,0,0,0,0,0,0,7/9/2022,1945,33.406,-86.977,33.5479,-86.8009
1045665,CONCORD,7/21/2022,1640,0,0,0,0,0,0,7/21/2022,1840,33.454,-87.045,33.544,-86.948
1066715,DOCENA,11/30/2022,100,0,0,0,0,0,0,11/30/2022,330,33.558,-86.93,33.364,-86.842
1167223,PARKWOOD,5/9/2024,1900,0,0,0,0,0,0,5/9/2024,2100,33.347,-86.8421,33.3795,-86.8557
1188591,COOLEY,7/28/2024,1500,0,0,0,0,0,0,7/28/2024,1800,33.4829,-86.6516,33.5109,-86.7488
1203056,THOMAS,9/14/2024,600,0,0,0,0,0,0,9/14/2024,800,33.558,-86.8648,33.5712,-86.6936
1203059,NORTH BIRMINGHAM,9/14/2024,2300,0,0,0,0,0,0,9/15/2024,130,33.5492,-86.8271,33.5443,-86.6949
1233974,PATTON CHAPLE,4/6/2025,710,0,0,0,0,0,0,4/6/2025,830,33.389,-86.8486,33.3581,-86.8265
